age,job,marital,education,default,housing,contact,month,duration
30,blue-collar,married,basic.9y,no,yes,cellular,may,487
39,services,single,high.school,no,no,telephone,may,346
25,services,married,high.school,no,yes,telephone,jun,227
38,services,married,basic.9y,no,unknown,telephone,jun,17
47,admin.,married,university.degree,no,yes,cellular,nov,58
32,services,single,university.degree,no,no,cellular,sep,128
32,admin.,single,university.degree,no,yes,cellular,sep,290
41,entrepreneur,married,university.degree,unknown,yes,cellular,nov,44
31,services,divorced,professional.course,no,no,cellular,nov,68
35,blue-collar,married,basic.9y,unknown,no,telephone,may,170
25,services,single,basic.6y,unknown,yes,cellular,jul,301
36,self-employed,single,basic.4y,no,no,cellular,jul,148
36,admin.,married,high.school,no,no,telephone,may,97
47,blue-collar,married,basic.4y,no,yes,telephone,jun,211
29,admin.,single,high.school,no,no,cellular,may,553
27,services,single,university.degree,no,no,cellular,jul,698
44,admin.,divorced,university.degree,no,no,cellular,jul,191
46,admin.,divorced,university.degree,no,yes,telephone,jul,59
45,entrepreneur,married,university.degree,unknown,yes,cellular,aug,38
50,blue-collar,married,basic.4y,no,no,cellular,jul,849
55,services,married,basic.6y,unknown,yes,cellular,jul,326
39,technician,divorced,high.school,no,no,cellular,mar,222
29,technician,single,university.degree,no,yes,cellular,aug,626
40,management,married,high.school,no,no,cellular,aug,119
44,technician,married,professional.course,unknown,yes,telephone,may,388
38,technician,married,professional.course,no,yes,cellular,aug,479
36,technician,divorced,professional.course,no,no,telephone,may,446
28,blue-collar,married,basic.6y,unknown,no,cellular,may,68
47,admin.,single,unknown,unknown,no,telephone,may,127
34,admin.,married,university.degree,no,no,cellular,aug,109
38,technician,married,university.degree,no,yes,cellular,mar,113
33,services,married,high.school,unknown,yes,telephone,jun,393
51,technician,single,university.degree,no,no,cellular,jun,151
30,blue-collar,single,basic.4y,unknown,yes,telephone,jun,256
48,technician,married,university.degree,no,no,cellular,aug,42
28,blue-collar,single,basic.9y,no,yes,telephone,jun,525
36,blue-collar,married,basic.6y,no,yes,telephone,may,57
46,management,divorced,high.school,no,no,cellular,nov,499
31,technician,single,unknown,no,yes,cellular,may,84
20,student,single,unknown,no,no,cellular,oct,137
35,services,married,high.school,unknown,yes,cellular,may,31
38,blue-collar,married,basic.9y,unknown,unknown,telephone,jun,430
76,retired,married,university.degree,no,no,cellular,aug,126
45,entrepreneur,divorced,professional.course,no,yes,cellular,jul,211
32,housemaid,married,basic.4y,no,yes,cellular,may,340
39,management,single,university.degree,unknown,no,cellular,may,412
32,admin.,married,university.degree,no,no,telephone,nov,132
29,admin.,single,basic.9y,no,no,cellular,may,79
44,services,married,professional.course,no,no,cellular,aug,341
32,services,married,high.school,no,no,cellular,jul,157
56,retired,married,university.degree,no,yes,cellular,jun,252
33,blue-collar,married,basic.9y,no,yes,cellular,may,263
39,management,married,high.school,no,no,cellular,aug,215
24,technician,married,university.degree,no,yes,cellular,sep,89
33,admin.,single,university.degree,no,yes,cellular,may,143
58,entrepreneur,divorced,university.degree,no,no,telephone,jun,40
29,admin.,single,university.degree,no,yes,telephone,jun,10
31,admin.,married,university.degree,no,yes,cellular,aug,113
27,admin.,married,university.degree,no,no,telephone,may,191
60,admin.,divorced,professional.course,no,yes,cellular,sep,481
55,entrepreneur,married,professional.course,no,yes,cellular,oct,233
37,blue-collar,married,basic.9y,no,yes,cellular,may,204
52,admin.,married,unknown,no,yes,telephone,apr,403
46,services,married,high.school,no,yes,cellular,apr,180
42,blue-collar,divorced,basic.6y,no,yes,cellular,may,16
35,admin.,single,university.degree,no,yes,cellular,jul,447
49,technician,divorced,unknown,no,yes,cellular,oct,81
29,services,divorced,high.school,no,no,telephone,jun,361
32,blue-collar,married,basic.9y,no,no,cellular,nov,1091
37,self-employed,married,university.degree,no,no,cellular,may,395
39,technician,single,professional.course,unknown,no,telephone,jun,432
51,services,married,high.school,unknown,yes,telephone,jul,596
28,admin.,single,high.school,no,yes,cellular,may,59
34,management,married,university.degree,no,yes,cellular,may,77
31,technician,single,high.school,no,yes,cellular,aug,768
31,admin.,married,university.degree,no,yes,cellular,aug,96
31,admin.,single,university.degree,no,yes,telephone,jun,357
38,self-employed,single,university.degree,no,no,telephone,may,459
33,unemployed,married,basic.9y,no,no,telephone,jun,11
32,technician,single,university.degree,no,no,cellular,aug,264
54,technician,married,professional.course,unknown,yes,cellular,apr,698
41,admin.,divorced,high.school,no,yes,telephone,jun,204
59,services,married,basic.4y,unknown,no,cellular,aug,93
57,retired,married,university.degree,no,yes,cellular,apr,374
38,entrepreneur,divorced,university.degree,no,yes,cellular,nov,252
46,admin.,married,university.degree,no,yes,telephone,may,158
37,unemployed,single,university.degree,no,yes,cellular,nov,95
47,services,single,basic.9y,no,unknown,telephone,jun,835
45,admin.,single,university.degree,no,no,cellular,aug,505
36,blue-collar,married,basic.6y,no,yes,telephone,jul,16
40,unemployed,single,high.school,no,yes,cellular,jul,300
38,blue-collar,married,basic.9y,no,no,cellular,nov,180
44,blue-collar,married,high.school,unknown,no,telephone,jun,390
25,self-employed,married,university.degree,no,yes,telephone,may,274
30,blue-collar,single,basic.6y,no,yes,telephone,jul,135
43,management,married,professional.course,no,no,cellular,nov,257
58,retired,married,basic.6y,unknown,no,telephone,may,268
31,technician,married,professional.course,no,yes,telephone,may,157
53,management,married,university.degree,no,no,cellular,jul,477
52,admin.,married,unknown,no,no,cellular,aug,91
37,management,married,university.degree,unknown,no,cellular,apr,76
58,admin.,married,high.school,unknown,yes,cellular,jul,103
37,services,married,high.school,no,yes,cellular,may,436
38,admin.,single,unknown,no,yes,cellular,may,191
33,services,single,basic.9y,no,yes,cellular,apr,483
45,services,married,high.school,unknown,yes,cellular,may,250
44,entrepreneur,married,professional.course,no,no,telephone,may,259
38,blue-collar,married,basic.6y,no,yes,telephone,jul,389
34,blue-collar,married,basic.9y,no,no,telephone,jun,7
47,management,married,university.degree,no,yes,cellular,jul,123
59,admin.,married,university.degree,no,yes,cellular,jul,92
51,blue-collar,married,basic.4y,unknown,yes,cellular,aug,297
31,blue-collar,married,basic.6y,no,yes,telephone,jun,406
56,management,married,university.degree,no,yes,cellular,nov,104
39,admin.,married,university.degree,no,no,telephone,jun,135
41,entrepreneur,married,university.degree,no,yes,cellular,nov,854
41,management,divorced,basic.6y,no,yes,cellular,nov,147
53,services,married,high.school,unknown,no,telephone,may,203
35,blue-collar,married,high.school,no,no,cellular,jul,149
58,retired,married,basic.9y,no,no,cellular,may,144
25,self-employed,married,professional.course,no,yes,telephone,jun,394
35,blue-collar,divorced,basic.9y,no,yes,cellular,may,523
28,services,single,high.school,no,no,cellular,jul,73
55,blue-collar,married,professional.course,no,yes,cellular,may,197
54,entrepreneur,married,basic.4y,unknown,no,telephone,may,108
45,technician,divorced,basic.9y,unknown,no,cellular,jul,80
32,blue-collar,married,basic.9y,no,yes,cellular,apr,114
50,admin.,married,basic.9y,unknown,yes,cellular,aug,122
75,retired,married,basic.4y,no,no,cellular,apr,109
